"Company.Name","YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
"Automotive Stampings & Assemblies Ltd.",1990,9.54,5.27,0.96,39.87,149.7,0.91,9.89,0.91,4.2,0.116817672482792
"Automotive Stampings & Assemblies Ltd.",1990,-5.78,-3.72,-0.87,66.36,152.4,0.92,50.28,0.65,2.8,0.0983875413450937
"Automotive Stampings & Assemblies Ltd.",1990,-11.86,-6.54,-2.2,0,152,1.01,25.62,0.87,12.06,0.151530368244859
"Automotive Stampings & Assemblies Ltd.",1990,-42.75,-19.83,-7.23,12.53,96.9,1.38,49.21,1.51,0,0.200134438017821
"Automotive Stampings & Assemblies Ltd.",1990,-67.91,-19.21,-7.47,21.02,96.3,1.27,18.18,2.53,0,0.184679347261199
"Bajaj Auto Ltd.",2007,24.44,25.49,-3.04,16.82,19.3,0.64,21.67,3.71,6.07,1.15669395412296
"Bajaj Auto Ltd.",2007,6.22,28.79,6.86,38.29,1670.3,0.56,4.33,16.59,22.48,0.518823896631675
"Bajaj Auto Ltd.",2007,38.75,20.51,6.47,48.63,1263.9,0.53,14.11,4.79,6.52,0.933025937801413
"Bajaj Auto Ltd.",2007,70.81,43.38,12.96,34.04,1327.7,1.22,17.81,9.94,10.58,2.34657167143014
"Bajaj Auto Ltd.",2007,63.07,52.01,13.84,34.66,1228.4,0.9,17.09,8.6,8.43,2.43718334985362
"Bajaj Auto Ltd.",2007,53.92,51.79,14.02,43.35,1456.2,0.9,17.56,6.8,9.79,2.37084160596274
"Bajaj Auto Ltd.",2007,41.57,40.94,13.28,42.78,1639.7,0.89,17.32,6.24,10.77,2.45733885249245
"Bajaj Auto Ltd.",2007,35.71,35.41,14.36,44.55,1789.5,0.82,19.24,6.26,10.56,2.8397393484656
"Bajaj Auto Ltd.",2007,30.67,30.41,13.51,51.42,2667.4,0.81,18.75,5.46,11.42,2.58960890667677
"Bajaj Auto Ltd.",2007,32.47,32.16,15.62,73.64,3065.1,0.82,17.9,5.25,11.76,2.91275973913236
"Balkrishna Industries Ltd.",1961,27.64,13.21,9.65,24.43,364,0.78,10.75,2.54,7.49,0.975396843041352
"Balkrishna Industries Ltd.",1961,27.69,12.42,10.31,19.23,441.3,0.65,9.98,2.55,6.72,1.04476544365966
"Balkrishna Industries Ltd.",1961,15.91,7.41,5.52,16.5,568.5,0.75,3.82,0.57,2.99,0.211842897907419
"Balkrishna Industries Ltd.",1961,36.58,19.98,14.45,6.48,664.8,0.83,6.01,1.88,4.12,0.885255989731888
