"YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
1994,3.51,1.53,1.73,4.08,8276.6,1.4,16.4,0.57,4.92,0.286617349747632
1994,22.55,9.51,9.67,8.79,11225.8,1.41,11.99,2.47,7.08,1.19183514698323
1994,13.92,7.27,7.23,13.59,13787.1,1.41,11.14,1.25,5.57,0.814767881033425
1994,9.24,5.11,4.66,10.29,17081.7,1.41,11.58,0.93,4.71,0.463883304088765
1994,9.52,4.99,4.61,12.39,19738.9,1.59,7.21,0.77,4.4,0.385180713153904
1994,6.17,2.98,2.69,21.56,27258.8,1.67,18.79,1.07,5.56,0.507785934720521
1994,8.15,3.74,3.86,12.27,27845,1.65,11.18,0.88,4.93,0.435373286652534
1990,34.67,0.89,0.98,13.2257101865136,424.8,1.35,48.77,10.96,30.39,0.171466438900833
1990,0.43,4.38,1.86,13.2257101865136,40,1.09,331.62,0.39,10.77,0.645850196492463
1990,9.71,0.08,2.01,13.2257101865136,38.5,0.55,29.29,0.77,5.78,152.206097560976
1990,4.4,5.73,0.46,10.52,53.7,1.04,3.94,0.63,3.66,0.191927959846472
1986,26.2,2.92,2.25,0.18,71.6,1.35,10.16,24.47,10.4375753228121,1.00555192453763
1986,16.28,14.08,0.18,13.2257101865136,5.2,0.41,6.71,0.54,6.76,0.0353226893490437
1986,35.51,1.53,0.82,0.18,71.6,1.43,25.07,0.71,23.69,0.0133324978516184
1986,16.56,15.87,3.87781922525108,12.39,12,0.33,4.6,1.67,7.43,0.223933253312622
1972,22.11,6.33,0.08,42.41,462.8,1.03,4.64,5.06,5.76,0.390961535475255
1972,4.94,0.15,4.17,13.2257101865136,37.4,1.03,570.23,0.89,10.4375753228121,0.0584898795735959
1972,26.38,7.61,1.14,13.2257101865136,64.1,0.61,7.84,0.69,15.93,0.0328987031195233
1972,3.04,8.84,0.45,13.2257101865136,32.9,1.31,9.25,0.55,24,0.103133078414477
